omega,mu
9659.634299,6.58E-02
9660.358196,7.87E-02
9661.005893,9.51E-02
9661.577391,1.16E-01
9662.072689,1.44E-01
9662.491787,1.79E-01
9662.834685,2.21E-01
9663.101384,2.63E-01
9663.291883,2.99E-01
9663.406183,3.23E-01
9663.444283,3.30E-01
9663.544283,3.51E-01
9663.644283,3.73E-01
9663.682407,3.81E-01
9663.787181,4.02E-01
9663.911006,4.27E-01
9664.05388,4.55E-01
9664.215805,4.85E-01
9664.396779,5.16E-01
9664.596803,5.48E-01
9664.815877,5.81E-01
9665.054001,6.16E-01
9665.311175,6.53E-01
9665.587399,6.92E-01
9665.882673,7.33E-01
9666.196996,7.79E-01
9666.53037,8.28E-01
9666.882793,8.81E-01
9667.254267,9.38E-01
9667.64479,9.99E-01
9668.054364,1.06E+00
9668.482987,1.12E+00
9668.93066,1.17E+00
9669.397383,1.22E+00
9669.883156,1.24E+00
9670.387979,1.25E+00
9670.911852,1.24E+00
9671.454774,1.22E+00
9672.016747,1.18E+00
9672.597769,1.14E+00
9673.197842,1.10E+00
9673.816964,1.07E+00
9674.455137,1.05E+00
9675.112359,1.03E+00
9675.788631,1.03E+00
9676.483953,1.03E+00
9677.198325,1.03E+00
9677.931747,1.03E+00
9678.684219,1.02E+00
9679.455741,9.99E-01
9680.246312,9.68E-01
9681.055934,9.35E-01
9681.884606,9.07E-01
9682.732327,8.87E-01
9683.599098,8.72E-01
9684.48492,8.64E-01
9685.389791,8.61E-01
9686.313712,8.61E-01
9687.256683,8.65E-01
9688.218704,8.70E-01
9689.199775,8.75E-01
9690.199896,8.81E-01
9691.219066,8.87E-01
9692.257287,8.94E-01
9693.314558,9.02E-01
9694.390878,9.11E-01
9695.486249,9.22E-01
9696.600669,9.33E-01
9697.734139,9.43E-01
9698.886659,9.52E-01
9700.058229,9.59E-01
9701.248849,9.65E-01
9702.458519,9.69E-01
9703.687239,9.71E-01
9704.935009,9.74E-01
9706.201829,9.78E-01
9707.487698,9.83E-01
9708.792618,9.90E-01
9710.116587,9.97E-01
9711.459607,1.00E+00
9712.821676,1.01E+00
9714.202795,1.01E+00
9715.602964,1.00E+00
9717.022183,9.94E-01
9718.460452,9.86E-01
9719.917771,9.79E-01
9721.39414,9.72E-01
9722.889559,9.67E-01
